City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,helena,46.5927,46.5927,47.62,49,0,10.36,US,1681586906
1,leningradskiy,69.3833,69.3833,4.73,86,10,4.16,RU,1681587093
2,khatanga,71.9667,71.9667,0.43,98,98,6.87,RU,1681587093
3,sao filipe,14.8961,14.8961,76.96,72,0,6.44,CV,1681587094
4,castro,-24.7911,-24.7911,68.07,82,69,4.63,BR,1681587094
5,lebu,-37.6167,-37.6167,56.75,70,0,18.21,CL,1681587094
6,busselton,-33.65,-33.65,62.44,80,99,8.3,AU,1681587042
7,port alfred,-33.5906,-33.5906,57.18,89,61,1.01,ZA,1681587094
8,aden,12.7794,12.7794,82.69,77,10,14.05,YE,1681587042
9,rikitea,-23.1203,-23.1203,78.26,67,0,6.73,PF,1681587009
10,sayat,38.7839,38.7839,60.67,29,0,6.87,TM,1681587095
11,longyearbyen,78.2186,78.2186,31.84,93,100,3.44,SJ,1681587095
12,mataura,-46.1927,-46.1927,52.48,87,97,2.82,NZ,1681587095
13,yar-sale,66.8333,66.8333,6.19,85,94,24.34,RU,1681587095
14,mahebourg,-20.4081,-20.4081,77.29,88,40,3.44,MU,1681587095
15,nome,64.5011,64.5011,11.16,72,0,0.0,US,1681587075
16,codrington,-38.2667,-38.2667,54.43,80,99,14.0,AU,1681587096
17,waipawa,-41.4122,-41.4122,51.3,87,18,6.96,NZ,1681587096
18,mar del plata,-38.0023,-38.0023,67.08,53,75,5.75,AR,1681587029
19,buala,-8.145,-8.145,78.64,83,98,5.88,SB,1681587096
20,ushuaia,-54.8,-54.8,46.02,70,0,3.44,AR,1681587077
21,albany,42.6001,42.6001,82.89,44,100,5.01,US,1681586846
22,nikolskoye,59.7035,59.7035,42.8,55,100,6.04,RU,1681587097
23,yellowknife,62.456,62.456,39.72,56,75,18.41,CA,1681587097
24,punta arenas,-53.15,-53.15,46.51,81,100,11.5,CL,1681587014
25,barrow,71.2906,71.2906,-7.58,77,0,9.22,US,1681587097
26,kalabagh,32.965,32.965,86.27,23,100,6.42,PK,1681587097
27,tessalit,20.1986,20.1986,86.83,9,0,9.26,ML,1681587097
28,tura,25.5198,25.5198,78.17,27,99,4.63,IN,1681587098
29,bendigo,-36.7667,-36.7667,52.86,71,100,6.4,AU,1681587098
30,atuona,-9.8,-9.8,81.01,74,7,13.91,PF,1681587098
31,jamestown,42.097,42.097,76.64,35,0,3.44,US,1681587098
32,karratha,-20.7377,-20.7377,70.88,29,87,17.47,AU,1681587099
33,pisco,-13.7,-13.7,82.45,57,0,11.5,PE,1681587099
34,ouadda,8.0777,8.0777,75.27,70,100,3.87,CF,1681587099
35,quelimane,-17.8786,-17.8786,73.11,78,9,5.53,MZ,1681587099
36,puerto ayora,-0.7393,-0.7393,89.56,87,78,8.99,EC,1681587099
37,hilo,19.7297,19.7297,80.28,69,20,4.61,US,1681587099
38,cape town,-33.9258,-33.9258,62.91,74,0,17.0,ZA,1681587072
39,butaritari,3.0707,3.0707,82.09,75,84,13.8,KI,1681587087
40,haines junction,60.7522,60.7522,42.75,36,100,5.75,CA,1681587100
41,ribeira grande,38.5167,38.5167,64.8,94,75,17.0,PT,1681587100
42,cherskiy,68.75,68.75,3.97,88,45,3.65,RU,1681587100
43,bambous virieux,-20.3428,-20.3428,77.25,88,40,3.44,MU,1681587094
44,sibolga,1.7427,1.7427,75.43,88,100,3.56,ID,1681587100
45,ascension,30.2169,30.2169,66.2,100,100,0.0,US,1681587101
46,saint-philippe,-21.3585,-21.3585,76.59,85,33,4.52,RE,1681587032
47,hermanus,-34.4187,-34.4187,54.81,75,3,8.12,ZA,1681587101
48,bredasdorp,-34.5322,-34.5322,56.82,81,5,3.47,ZA,1681587025
